	SporangiaReplicate3	SporangiaReplicate2	SporangiaReplicate1	ZoosporeReplicate1	ZoosporeReplicate2	ZoosporeReplicate3
MSTRG.7000.2	0	0	0	0	0	0
rna-XM_006682571.1	0	0	0	0	0	0
rna-XM_006682572.1	0.66462311559338	0.890564774164979	0.919231959456351	0	0	0
rna-XM_006682576.1	0	0	0	0	0	0
MSTRG.7002.2	0	0	0	0	0	0
rna-XM_006682584.1	4.65236180915366	9.79621251581477	6.43462371619446	9.8463689873187	2.74924617122417	8.49966141041821
rna-XM_006682719.1	1.32924623118676	0	0	0	1.37462308561208	0
MSTRG.7005.1	1.99386934678014	0	2.75769587836905	0.98463689873187	1.37462308561208	1.21423734434546
MSTRG.7006.1	0	0	0	0	0	0
MSTRG.7006.2	0	0	0.919231959456351	0	0	0
rna-XM_006682812.1	44.5297487447565	59.6678398690536	34.9308144593413	30.523743860688	49.486431082035	35.2128829860183
MSTRG.7008.1	3.98773869356028	2.67169432249494	2.75769587836905	3.93854759492748	1.37462308561208	4.85694937738184
rna-XM_006682845.1	0	0	0	0	0	0
rna-XM_006682790.1	0.66462311559338	0.890564774164979	0	0	0	0
MSTRG.7009.2	7.31085427152718	6.23395341915485	6.43462371619446	2.95391069619561	2.74924617122417	1.21423734434546
rna-XM_006682779.1	40.5420100511962	37.4037205149291	46.8808299322739	0.98463689873187	2.74924617122417	3.64271203303638
MSTRG.7011.1	3.3231155779669	6.23395341915485	8.27308763510716	7.87709518985496	4.12386925683625	4.85694937738184
rna-XM_006682846.1	0	0	0	0	0	0
rna-XM_006682701.1	0	0	0	0	0	0
MSTRG.7011.4	1.99386934678014	2.67169432249494	1.8384639189127	0.98463689873187	1.37462308561208	0
MSTRG.7012.1	0	0	0	0	0	0
rna-XM_006682805.1	4.65236180915366	5.34338864498987	5.51539175673811	8.86173208858683	19.2447231985692	8.49966141041821
MSTRG.7013.1	5.31698492474704	4.4528238708249	8.27308763510716	2.95391069619561	8.2477385136725	8.49966141041821
rna-XM_006682713.1	0	0	0	0	0	0
MSTRG.7013.3	9.30472361830732	12.4679068383097	9.19231959456351	19.6927379746374	9.62236159928458	6.07118672172729
rna-XM_006682847.1	0	0	0	0	0	0
